               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.085817,0.013774,0.019855,0.059384,0.21569,0.037224,0.0085876,0.082539,0.007385,0.014296,0.0703,0.0033,0.0033
1,0.067456,0.014971,0.0069756,0.41182,0.4099,0.3578,0.15627,0.066741,0.0064507,0.0056556,0.040267,0.0066005,0.0066005
2,0.062882,0.013689,0.0040886,0.029621,0.18114,0.016811,0.0071256,0.11732,0.0042052,0.01551,0.010201,0.009868,0.009868
3,0.056396,0.013064,0.0037836,0.40969,0.44907,0.39894,0.15883,                 nan,                 nan,0.0077971,0.0098515,0.0098515,0.0098515
4,0.048438,0.012052,0.0026943,0.72066,0.73709,0.77683,0.38189,0.055973,0.0043767,0.0023449,0.0098515,0.0098515,0.0098515
5,0.043767,0.01124,0.0022252,0.64793,0.73109,0.73002,0.41607,0.040748,0.0044877,0.0023962,0.009802,0.009802,0.009802
6,0.039453,0.01074,0.0019164,0.81912,0.79365,0.85359,0.58488,0.038388,0.0042342,0.0027913,0.0097525,0.0097525,0.0097525
7,0.039991,0.010783,0.0018679,0.87438,0.8254,0.89165,0.59498,0.036116,0.0039799,0.0021228,0.009703,0.009703,0.009703
8,0.037245,0.01058,0.00164,0.7781,0.79234,0.81108,0.47665,0.043665,0.004513,0.0086308,0.0096535,0.0096535,0.0096535
9,0.03542,0.010266,0.0015576,0.77063,0.77404,0.81334,0.54487,0.03137,0.0041019,0.0021328,0.009604,0.009604,0.009604
10,0.034954,0.010516,0.00137,0.87723,0.82166,0.88663,0.61919,0.031255,0.0039647,0.0015146,0.0095545,0.0095545,0.0095545
11,0.035888,0.010519,0.0019143,0.81585,0.81908,0.87611,0.5877,0.031192,0.0039951,0.0016025,0.009505,0.009505,0.009505
12,0.033909,0.010189,0.0012551,0.81404,0.79292,0.84753,0.57302,0.033496,0.0039909,0.0014778,0.0094555,0.0094555,0.0094555
13,0.032802,0.010331,0.0013255,0.86153,0.82489,0.8775,0.6185,0.029586,0.0037201,0.0017183,0.009406,0.009406,0.009406
14,0.0321,0.010167,0.0011572,0.85919,0.84891,0.89694,0.59607,0.029565,0.0036206,0.0015471,0.0093565,0.0093565,0.0093565
15,0.030381,0.0099139,0.0010853,0.87412,0.86275,0.91281,0.64559,0.030479,0.0035039,0.0013545,0.009307,0.009307,0.009307
16,0.030869,0.0099416,0.0010852,0.86056,0.81979,0.89242,0.64232,0.03173,0.0038729,0.0063677,0.0092575,0.0092575,0.0092575
17,0.030326,0.010094,0.0010826,0.90593,0.8542,0.91883,0.66781,0.027883,0.0035403,0.0012967,0.009208,0.009208,0.009208
18,0.030299,0.009777,0.0011834,0.86316,0.84594,0.89486,0.61308,0.030768,0.0035265,0.0011988,0.0091585,0.0091585,0.0091585
